gene	log2FC	FDR
RPS10P3	2.13007943833779	1.45852810264662e-85
TMSB10P1	3.3363821407207	1.6642645382704e-85
AC087385.2	2.01964220268527	2.56149720952845e-85
PPIAP79	3.25488652048463	2.80106805099022e-85
PPIAP26	3.10657002056837	4.13220084112167e-85
PPIAP33	2.71303671695724	4.75792142543451e-85
RPSAP63	2.58796405325965	5.09005300199843e-85
AC108114.1	3.29437845202239	5.36376499365306e-85
RPS7P8	3.3554802698744	5.40323041836596e-85
PPIAP78	2.91461123523888	8.31070947989661e-85
RPL27AP5	2.83758613746326	9.47530599820777e-85
RPL10P2	2.6909037926337	9.60614340230589e-85
CAPN6	4.53569048966223	1.0667682473523e-84
EEF1GP8	2.49786649404843	1.649311354541e-84
AC083855.2	2.26915397268944	1.85450492201364e-84
GAPDHP76	2.28793275635919	1.95983807513626e-84
AC021074.1	2.04571622944194	2.55931505930128e-84
AP000852.1	3.32967148711498	2.58467323481159e-84
GAPDHP31	3.12545299343294	4.66903954048101e-84
AL596276.2	3.1922847268713	8.91641711649751e-84
RPS8P3	3.08629235915047	1.00171473274071e-83
EEF1A1P32	2.7325906705502	1.16822148957187e-83
RPLP0P7	3.47036628699507	2.37377799593097e-83
AC011416.2	2.41579324803267	3.20568812227812e-83
AC026798.1	3.4193337341726	5.11971424993833e-83
ACTG1P14	2.41559836718795	6.25488098568199e-83
PPIAP28	3.37583178288864	8.97856965283694e-83
GAPDHP75	3.60553363035334	1.52764078134715e-82
AC016700.2	3.64474829409259	1.64367805604656e-82
RPS3AP37	2.46589215941374	1.81735070674195e-82
FTLP3	2.15966661850705	2.31803708450333e-82
AL603825.1	3.58347116498483	6.29595301450343e-82
PLEK2	2.56351101756047	7.45125692339601e-82
RPSAP10	3.17868357594806	1.22302618707322e-81
GAPDHP32	2.27792862775833	1.2885226732555e-81
MCEMP1	4.07001551089745	1.33310831274559e-81
AL138899.2	3.38023622531554	1.52515362845963e-81
RPL5P4	2.15073074454059	1.96900766936066e-81
AD000090.1	2.38997281385194	2.05933319158127e-81
PPIAP34	2.27712609288937	7.80878724646859e-81
ACTG1P16	2.33177770890361	1.31605467269268e-80
RPL7AP53	2.42309732538868	2.19758192244068e-80
BX119917.1	2.92207265974477	2.26880765208581e-80
RPL7P50	2.5007585837022	3.12630863917458e-80
AC069213.3	2.75845467564608	3.47932129751429e-80
PPIAP51	2.84605562742045	4.35525088401645e-80
CYTOR	2.48935918381516	4.87132105107644e-80
NPM1P33	2.40256344472787	5.14411847502763e-80
AC008026.1	2.47029975478118	6.32727356486639e-80
PPIAP76	3.12562619736767	8.5875284098836e-80
PPIAP23	3.24393469109972	1.57648977241335e-79
HSP90AA4P	2.16944220438977	1.58651257485158e-79
RPS2P24	2.85842378493712	2.51847981414757e-79
HILPDA	2.08477453560281	3.93121060935967e-79
RPL9P3	2.31970387534428	4.01431588532608e-79
CLIC1	2.05337551016184	4.70199106046843e-79
AC092484.1	5.78159237001809	5.29726183254404e-79
PPIAP64	2.520038615583	6.96498507787042e-79
TUBAP4	3.2096211206431	1.0587383472711e-78
FTLP1	3.28706307618387	1.11638098968078e-78
AL109615.1	2.38714286989152	1.33371898234688e-78
GAPDHP66	2.05800598754707	1.44579322067374e-78
AL109810.1	3.34582265729813	1.55402139383767e-78
GAPDHP23	2.82975758599647	1.97298253167898e-78
AC073900.1	2.65140591767952	2.08621273863182e-78
AC009362.1	2.18253407363561	2.09369025217588e-78
FTH1P21	2.45352242373327	2.50646342188804e-78
RPS2P2	3.34247762049223	3.6007766973068e-78
AL033519.2	2.91426952732044	5.78224600300343e-78
COX6A1P3	3.24967764282761	7.92130107390591e-78
PPIAP49	3.11672673267927	9.17001476561728e-78
AC090058.1	2.80816642405952	1.04803270439323e-77
